year,team,player
1965,BOS,SCHIC101
1965,BOS,SCHLR101
1965,BOS,STEPJ103
1965,BOS,THOML103
1965,BOS,TILLB101
1965,BOS,WILSE102
1965,BOS,YASTC101
1965,CAL,ADCOJ101
1965,CAL,BRUNG101
1965,CAL,CARDJ101
1965,CAL,CHAND102
1965,CAL,CIMOG101
1965,CAL,CLINL101
1965,CAL,COATJ101
1965,CAL,DEESC101
1965,CAL,EGANT101
1965,CAL,FREGJ101
1965,CAL,GATEA101
1965,CAL,GOTAJ101
1965,CAL,HERNJ102
1965,CAL,KIRKE102
1965,CAL,KNOOB101
1965,CAL,KOPPJ101
1965,CAL,LATMB101
1965,CAL,LEE-B104
1965,CAL,LEE-D102
1965,CAL,LOPEM101
1965,CAL,MAY-R101
1965,CAL,MCBRK101
1965,CAL,MCGLJ101
1965,CAL,NEWMF101
1965,CAL,PEARA102
1965,CAL,PICHR101
1965,CAL,PIERJ102
1965,CAL,POWEV101
1965,CAL,RANEM101
1965,CAL,REICR101
1965,CAL,RODGB102
1965,CAL,ROOFP101
1965,CAL,SANFJ101
1965,CAL,SATRT101
1965,CAL,SCHAP101
1965,CAL,SHOCC101
1965,CAL,SIMPD102
1965,CAL,SMITB104
1965,CAL,SMITW102
1965,CAL,SPANA101
1965,CAL,SUKLE101
1965,CAL,WANTD101
1965,CHA,AGEET101
1965,CHA,BERRK101
1965,CHA,BOLLG101
1965,CHA,BUFOD101
1965,CHA,BURGS101
1965,CHA,BUZHJ101
1965,CHA,CATED101
1965,CHA,FISHE102
1965,CHA,FREEG102
1965,CHA,HANSR102
1965,CHA,HEATB101
1965,CHA,HICKJ105
1965,CHA,HORLJ101
1965,CHA,HOWAB101
1965,CHA,JOHNT001
1965,CHA,JOSED101
1965,CHA,KENWD102
1965,CHA,LARYF101
1965,CHA,LOCKB102
1965,CHA,MARTJ107
1965,CHA,MCCRT102
1965,CHA,NICHD101
1965,CHA,PETEG101
1965,CHA,PIZAJ101
1965,CHA,ROBIF102
1965,CHA,ROMAJ101
1965,CHA,SCHAJ104
1965,CHA,SKOWB101
1965,CHA,STAEM101
1965,CHA,VOSSB101
1965,CHA,WARDP102
1965,CHA,WEISA101
1965,CHA,WILHH101
1965,CHA,WILLT102
1965,CHN,ABERT101
1965,CHN,ALTMG101
1965,CHN,AMALJ101
1965,CHN,BAILE101
1965,CHN,BANKE101
1965,CHN,BAUMF102
1965,CHN,BECKG101
1965,CHN,BERTD101
1965,CHN,BOCCJ101
1965,CHN,BRIGH101
1965,CHN,BROGE101
1965,CHN,BROWB101
1965,CHN,BUHLB101
1965,CHN,BURDL101
1965,CHN,BURKL102
1965,CHN,BURTE101
1965,CHN,CAMPR101
1965,CHN,CLEMD101
1965,CHN,ELLSD101
1965,CHN,FAULB101
1965,CHN,GABRL102
1965,CHN,HARTC105
1965,CHN,HENDB101
1965,CHN,HOEFB101
1965,CHN,HOLTK101
1965,CHN,HUMPB102
1965,CHN,JACKL102
1965,CHN,KESSD101
1965,CHN,KOONC101
1965,CHN,KRUGC101
1965,CHN,KUENH101
1965,CHN,LANDD101
1965,CHN,MCDAL101
1965,CHN,PENAR101
1965,CHN,ROZNV101
1965,CHN,SANTR102
1965,CHN,STEWJ102
1965,CHN,WARNJ104
1965,CHN,WILLB104
1965,CHN,YOUND103
1965,CIN,ARRIG101
1965,CIN,BOROS101
1965,CIN,CARDL101
1965,CIN,COKEJ101
1965,CIN,COLEG101
1965,CIN,CRAIR101
1965,CIN,DAVIT102
1965,CIN,DUFFJ102
1965,CIN,EDWAJ101
